drug,ccle_drug_name,ccle_target,gdsc_drug_name,gdsc_synonyms,gdsc_target,gdsc_target_pathway,ctrp_drug_name,ctrp_target,ctrp_target_description,synonyms,targets
wz8040,,,,,,,WZ8040,EGFR,inhibitor of EGFR targeting T790M resistance,WZ8040,EGFR
xav939,,,XAV939,"NVP-XAV939, XAV-939, XAV 939",TNKS1; TNKS2,WNT signaling,,,,XAV939; XAV 939; XAV-939; NVP-XAV939,TNKS2; TNKS1
xl765,,,,,,,XL765,MTOR; PIK3CA; PIK3CB; PIK3CD; PIK3CG; PRKDC,inhibitor of mTOR and PI3K kinase acitivities,XL765,PRKDC; PIK3CA; MTOR; PIK3CB; PIK3CG; PIK3CD
xmd11-85h,,,XMD11-85h,,BRSK2; FLT4; MARK4; PRKCD; RET; SPRK1,Other,,,,XMD11-85h,PRKCD; FLT4; SPRK1; RET; BRSK2; MARK4
xmd13-2,,,XMD13-2,,RIPK1,Apoptosis regulation,,,,XMD13-2,RIPK1
xmd14-99,,,XMD14-99,,ALK; CDK7; LTK; others,Other,,,,XMD14-99,ALK; LTK; others; CDK7
xmd15-27,,,XMD15-27,,CAMK2,"Other, kinases",,,,XMD15-27,CAMK2
xmd8-85,,,XMD8-85,ERK5-IN-1,ERK5; BET,Other,,,,XMD8-85; ERK5-IN-1,ERK5; BET
xmd8-92,,,XMD8-92,XMD 8-92,MAPK7,"Other, kinases",,,,XMD8-92; XMD 8-92,MAPK7
y-39983,,,Y-39983,,ROCK,Cytoskeleton,,,,Y-39983,ROCK
yk-4-279,,,YK-4-279,YK 4-279,RNA helicase A,Other,YK 4-279,DHX9; ERG; ETV1,inhibitor of RNA helicase A (RHA) binding to EWS-FLI1; inhibitor of ERG and ETV1 activity,YK-4-279; YK 4-279,RNA helicase A; DHX9; ERG; ETV1
yl54,,,,,,,YL54,,stapled helical peptide,YL54,NaN
ym201636,,,YM201636,"YM-201636, YM 201636",PYKFYVE,Other,,,,YM201636; YM 201636; YM-201636,PYKFYVE
z-llnle-cho,,,Z-LLNle-CHO,"Z-L-Norleucine-CHO, Gamma-Secretase Inhibitor 1",gamma-secretase,Other,,,,Gamma-Secretase Inhibitor 1; Z-L-Norleucine-CHO; Z-LLNle-CHO,gamma-secretase
zd-6474,ZD-6474,EGFR,,,,,,,,ZD-6474,EGFR
zebularine,,,,,,,zebularine,DNMT1,inhibitor of DNA methyltransferases,zebularine,DNMT1
zg-10,,,ZG-10,,JNK1,JNK and p38 signaling,,,,ZG-10,JNK1
zibotentan,,,Zibotentan,"ZD4054, ZD-4054",Endothelin-1 receptor (EDNRA),Other,,,,Zibotentan; ZD4054; ZD-4054,Endothelin-1 receptor (EDNRA)
zm447439,,,ZM447439,"ZM-447439, ZM 447439",AURKA; AURKB,Mitosis,,,,ZM447439; ZM 447439; ZM-447439,AURKA; AURKB
zstk474,,,ZSTK474,"KIN001-167, ZSTK-474, ZSTK 474",PI3K (class 1),PI3K/MTOR signaling,ZSTK474,PIK3CB; PIK3CD; PIK3CG,"inhibitor of PI3K catalytic subunits beta, delta, and gamma",ZSTK-474; ZSTK 474; ZSTK474; KIN001-167,PI3K (class 1); PIK3CB; PIK3CG; PIK3CD
